Dates/Times,Probability,Random Number,Occupancy,Comfort Range
2018-01-01 00:00:00,0.875,0.06063562848937,1,0.619332165310242
2018-01-01 01:00:00,0.817,0.971317991926251,0,0.911042403018903
2018-01-01 02:00:00,0.867,0.254914344768257,1,0.65933064441979
2018-01-01 03:00:00,0.783,0.778545244485089,1,1.08429563861825
2018-01-01 04:00:00,0.8,0.028212955741947,1,0.997427545045643
2018-01-01 05:00:00,0.708,0.542044255872616,1,1.47457775634821
2018-01-01 06:00:00,0.767,0.28057647060348,1,1.16653818329121
2018-01-01 07:00:00,0.683,0.472534464981504,1,1.60776371104077
2018-01-01 08:00:00,0.658,0.33877914857015,1,1.74281597973045
2018-01-01 09:00:00,0.5,0.364092758592548,1,2.65546614652197
2018-01-01 10:00:00,0.517,0.838362519353461,0,2.55108439240501
2018-01-01 11:00:00,0.358,0.292365979834531,1,3.61882242827303
2018-01-01 12:00:00,0.225,0.523286325414768,0,4.77691809373729
2018-01-01 13:00:00,0.167,0.723147535820664,0,5.44057117108711
2018-01-01 14:00:00,0.192,0.08654277521388,1,5.13654636164575
2018-01-01 15:00:00,0.25,0.46508126426963,0,4.52892551054034
2018-01-01 16:00:00,0.542,0.31204914250308,1,2.40074873657985
2018-01-01 17:00:00,0.642,0.287576770384033,1,1.83032817992527
2018-01-01 18:00:00,0.608,0.595148729863846,1,2.01940702659018
2018-01-01 19:00:00,0.692,0.802352384925182,0,1.55961252601555
2018-01-01 20:00:00,0.85,0.602180204083593,1,0.744559244235983
2018-01-01 21:00:00,0.858,0.429883767605443,1,0.704410639488155
2018-01-01 22:00:00,0.883,0.193368432406055,1,0.57939751217929
2018-01-01 23:00:00,0.85,0.65607718632254,1,0.744559244235983
2018-01-02 00:00:00,0.875,0.5295594520784,1,0.619332165310242
2018-01-02 01:00:00,0.817,0.294883302397109,1,0.911042403018903
2018-01-02 02:00:00,0.867,0.379624135702953,1,0.65933064441979
2018-01-02 03:00:00,0.783,0.338203239077707,1,1.08429563861825
2018-01-02 04:00:00,0.8,0.532660949218812,1,0.997427545045643
2018-01-02 05:00:00,0.708,0.817901377374039,0,1.47457775634821
2018-01-02 06:00:00,0.767,0.078402446480489,1,1.16653818329121
2018-01-02 07:00:00,0.683,0.159952174561478,1,1.60776371104077
2018-01-02 08:00:00,0.658,0.865089288139524,0,1.74281597973045
2018-01-02 09:00:00,0.5,0.94618309815967,0,2.65546614652197
2018-01-02 10:00:00,0.517,0.356611126584479,1,2.55108439240501
2018-01-02 11:00:00,0.358,0.872402095697567,0,3.61882242827303
2018-01-02 12:00:00,0.225,0.93953669934885,0,4.77691809373729
2018-01-02 13:00:00,0.167,0.431006284808129,0,5.44057117108711
2018-01-02 14:00:00,0.192,0.517487031644735,0,5.13654636164575
2018-01-02 15:00:00,0.25,0.473411483780462,0,4.52892551054034
2018-01-02 16:00:00,0.542,0.454454445825641,1,2.40074873657985
2018-01-02 17:00:00,0.642,0.25529319449735,1,1.83032817992527
2018-01-02 18:00:00,0.608,0.008761236021027,1,2.01940702659018
2018-01-02 19:00:00,0.692,0.089555397868118,1,1.55961252601555
2018-01-02 20:00:00,0.85,0.849875454381104,1,0.744559244235983
2018-01-02 21:00:00,0.858,0.18187151152095,1,0.704410639488155
2018-01-02 22:00:00,0.883,0.653179720625401,1,0.57939751217929
2018-01-02 23:00:00,0.85,0.551920161677166,1,0.744559244235983
2018-01-03 00:00:00,0.875,0.376119951780833,1,0.619332165310242
2018-01-03 01:00:00,0.817,0.616130740681904,1,0.911042403018903
2018-01-03 02:00:00,0.867,0.368734949721561,1,0.65933064441979
2018-01-03 03:00:00,0.783,0.380980948099486,1,1.08429563861825
2018-01-03 04:00:00,0.8,0.57642056812702,1,0.997427545045643
2018-01-03 05:00:00,0.708,0.886059793398117,0,1.47457775634821
2018-01-03 06:00:00,0.767,0.018857981718702,1,1.16653818329121
2018-01-03 07:00:00,0.683,0.307199622183043,1,1.60776371104077
2018-01-03 08:00:00,0.658,0.819078399044415,0,1.74281597973045
2018-01-03 09:00:00,0.5,0.133333304887962,1,2.65546614652197
2018-01-03 10:00:00,0.517,0.532941764209475,0,2.55108439240501
2018-01-03 11:00:00,0.358,0.778376376820393,0,3.61882242827303
2018-01-03 12:00:00,0.225,0.039557845390921,1,4.77691809373729
2018-01-03 13:00:00,0.167,0.949311375594578,0,5.44057117108711
2018-01-03 14:00:00,0.192,0.158643696725101,1,5.13654636164575
2018-01-03 15:00:00,0.25,0.329373240646135,0,4.52892551054034
2018-01-03 16:00:00,0.542,0.895712444190837,0,2.40074873657985
2018-01-03 17:00:00,0.642,0.47963965383816,1,1.83032817992527
2018-01-03 18:00:00,0.608,0.324266503139649,1,2.01940702659018
2018-01-03 19:00:00,0.692,0.013414692012504,1,1.55961252601555
2018-01-03 20:00:00,0.85,0.521206893166877,1,0.744559244235983
2018-01-03 21:00:00,0.858,0.530027458964087,1,0.704410639488155
2018-01-03 22:00:00,0.883,0.387215613344981,1,0.57939751217929
2018-01-03 23:00:00,0.85,0.239333377985028,1,0.744559244235983
2018-01-04 00:00:00,0.875,0.486298668601886,1,0.619332165310242
2018-01-04 01:00:00,0.817,0.789254487285509,1,0.911042403018903
2018-01-04 02:00:00,0.867,0.082911302771303,1,0.65933064441979
2018-01-04 03:00:00,0.783,0.168537846449107,1,1.08429563861825
2018-01-04 04:00:00,0.8,0.499944713962525,1,0.997427545045643
2018-01-04 05:00:00,0.708,0.430709293898214,1,1.47457775634821
2018-01-04 06:00:00,0.767,0.570510567189416,1,1.16653818329121
2018-01-04 07:00:00,0.683,0.908891644562153,0,1.60776371104077
2018-01-04 08:00:00,0.658,0.88182539132727,0,1.74281597973045
2018-01-04 09:00:00,0.5,0.688744459271742,0,2.65546614652197
2018-01-04 10:00:00,0.517,0.613833697349178,0,2.55108439240501
2018-01-04 11:00:00,0.358,0.187939542727114,1,3.61882242827303
2018-01-04 12:00:00,0.225,0.273452944837675,0,4.77691809373729
2018-01-04 13:00:00,0.167,0.024855908036209,1,5.44057117108711
2018-01-04 14:00:00,0.192,0.265059950108153,0,5.13654636164575
2018-01-04 15:00:00,0.25,0.380491229063351,0,4.52892551054034
2018-01-04 16:00:00,0.542,0.852735203879649,0,2.40074873657985
2018-01-04 17:00:00,0.642,0.313783101684671,1,1.83032817992527
2018-01-04 18:00:00,0.608,0.872653962926831,0,2.01940702659018
2018-01-04 19:00:00,0.692,0.463058175950501,1,1.55961252601555
2018-01-04 20:00:00,0.85,0.516670187711786,1,0.744559244235983
2018-01-04 21:00:00,0.858,0.50356114555765,1,0.704410639488155
2018-01-04 22:00:00,0.883,0.254532613142269,1,0.57939751217929
2018-01-04 23:00:00,0.85,0.919908380554299,0,0.744559244235983
